source;target;weight
16;7;1
16;9;1
16;10;2
16;21;1
16;32;1
16;37;2
16;67;1
16;76;1
16;93;1
16;148;1
16;179;1
16;259;1
16;1005;1
16;31;2
16;56;2
16;62;1
16;92;1
16;120;1
16;122;1
16;165;1
16;187;1
16;266;1
16;280;1
16;313;1
16;366;1
16;374;1
16;394;1
16;428;1
16;466;1
16;486;1
16;492;1
16;582;1
16;629;1
16;645;1
16;691;1
16;692;1
16;744;1
16;911;1
16;974;1
16;1133;1
16;1146;1
16;1177;1
16;1185;1
16;1190;1
16;1360;1
16;1390;1
16;1413;1
16;1447;1
16;1602;1
16;1806;1
16;2086;1
31;10;1
31;11;1
31;15;1
31;21;1
31;23;1
31;37;1
31;64;1
31;67;1
31;76;1
31;87;1
31;125;2
31;148;1
31;179;1
31;202;1
31;328;1
31;443;1
31;583;1
31;62;1
31;92;2
31;207;1
31;331;1
31;645;1
31;187;2
31;200;1
31;208;1
31;238;1
31;309;1
31;394;2
31;396;1
31;428;1
31;473;1
31;494;1
31;582;1
31;629;1
31;633;1
31;723;1
31;741;1
31;1039;1
31;1447;1
31;1977;1
31;2086;1
179;6;1
179;9;1
179;37;1
179;93;1
179;96;1
179;148;1
179;187;1
179;202;1
179;309;1
179;402;1
179;529;1
179;546;1
179;645;1
179;1027;1
179;1205;1
179;1392;1
179;1408;1
179;1778;1
187;64;2
187;148;2
187;173;1
187;62;1
187;92;1
187;169;1
187;199;1
187;203;1
187;645;1
187;153;1
187;208;1
187;212;1
187;273;1
187;278;1
187;378;1
187;723;1
187;1039;1
645;9;1
645;10;2
645;23;1
645;67;1
645;87;1
645;93;1
645;140;1
645;240;1
645;339;1
645;313;1
645;215;2
645;229;1
645;264;1
645;331;1
645;423;1
645;310;1
645;341;1
645;629;1
645;714;1
645;904;1
645;1249;1
645;1349;1
645;1800;1
645;2061;1
9;6;3
9;7;3
9;10;4
9;15;5
9;21;1
9;23;4
9;32;1
9;37;3
9;56;3
9;67;1
9;76;1
9;87;1
9;93;1
9;96;3
9;137;1
9;140;1
9;152;2
9;192;1
9;195;1
9;199;1
9;203;2
9;207;1
9;211;1
9;215;1
9;229;2
9;264;1
9;267;1
9;313;1
9;331;1
9;366;1
9;391;1
9;423;1
9;463;1
9;486;1
9;534;1
9;904;1
9;928;1
9;1110;1
9;1249;1
9;1349;1
9;1800;1
9;2061;1
23;6;3
23;7;3
23;8;1
23;10;2
23;21;1
23;32;1
23;56;1
23;61;1
23;64;2
23;67;3
23;78;1
23;87;1
23;93;1
23;96;2
23;137;1
23;141;1
23;142;1
23;145;1
23;148;1
23;152;1
23;169;1
23;173;1
23;191;1
23;195;1
23;199;1
23;202;2
23;203;1
23;207;1
23;211;3
23;215;1
23;238;1
23;240;1
23;259;1
23;308;1
23;310;1
23;328;2
23;339;1
23;341;1
23;376;1
23;403;2
23;446;2
23;463;1
23;484;2
23;499;2
23;508;1
23;517;1
23;534;1
23;583;1
23;629;1
23;701;1
23;714;1
23;770;1
23;813;1
23;824;1
23;859;1
23;970;1
23;1005;1
23;1084;1
23;1110;1
23;1163;1
23;1611;1
23;1680;1
56;7;1
56;10;1
56;15;1
56;21;1
56;32;1
56;37;1
56;76;1
56;93;1
56;96;1
56;148;1
56;259;1
56;1005;1
56;62;1
56;92;1
56;120;1
56;122;1
56;195;1
56;203;1
56;207;1
56;229;1
56;266;1
56;313;2
56;374;1
56;466;1
56;486;1
56;492;1
56;691;1
56;692;1
56;744;1
56;911;1
56;1133;1
56;1146;1
56;1177;1
56;1185;1
56;1190;1
56;1360;1
56;1390;1
56;1413;1
56;1806;1
96;6;2
96;15;1
96;37;1
96;90;1
96;125;1
96;140;1
96;153;1
96;195;1
96;202;1
96;203;1
96;333;1
96;340;1
96;360;1
96;463;1
96;539;1
96;639;1
96;878;1
96;959;1
96;1001;1
96;1177;1
96;1203;1
96;1379;1
96;1477;1
96;1533;1
96;1813;1
96;1833;1
96;1920;1
96;2124;1
96;2255;1
195;203;1
203;64;1
203;67;1
203;148;1
203;173;1
203;62;1
203;169;1
203;199;1
203;153;1
203;212;1
203;273;1
203;278;1
203;378;1
6;7;1
6;8;2
6;10;1
6;11;1
6;15;4
6;21;2
6;32;1
6;37;1
6;53;1
6;61;1
6;64;3
6;67;3
6;76;1
6;87;1
6;90;2
6;93;1
6;125;1
6;137;1
6;140;1
6;141;1
6;145;1
6;148;1
6;155;1
6;173;1
6;176;1
6;191;1
6;202;3
6;211;3
6;240;1
6;257;1
6;259;1
6;265;1
6;267;1
6;308;1
6;318;1
6;328;2
6;339;1
6;342;1
6;365;1
6;376;1
6;403;2
6;405;1
6;429;1
6;443;1
6;446;2
6;484;2
6;499;2
6;517;1
6;519;1
6;554;1
6;576;1
6;583;1
6;611;1
6;612;1
6;672;1
6;701;1
6;770;1
6;794;1
6;824;1
6;852;1
6;855;1
6;859;1
6;878;1
6;903;1
6;928;1
6;959;1
6;970;1
6;972;1
6;1005;1
6;1077;1
6;1084;1
6;1163;1
6;1165;1
6;1477;1
6;1611;1
6;1680;1
6;2255;1
7;10;3
7;15;1
7;21;2
7;32;2
7;37;2
