source;target;weight
1;2;1
1;3;3
1;4;2
1;12;1
1;13;2
1;19;2
1;28;1
1;30;1
1;62;1
1;70;2
1;94;1
1;98;1
1;99;1
1;104;2
1;146;1
1;150;1
1;216;1
1;359;1
1;368;1
1;418;1
1;456;1
1;686;1
1;1267;1
2;3;2
2;4;1
2;13;1
2;19;1
2;70;2
2;94;1
2;98;1
2;100;1
2;104;1
2;359;1
2;418;1
2;456;1
3;4;4
3;12;2
3;13;4
3;19;4
3;20;1
3;25;2
3;28;2
3;30;1
3;43;2
3;44;1
3;62;1
3;63;1
3;65;1
3;70;6
3;94;2
3;98;1
3;99;1
3;100;2
3;104;1
3;105;2
3;146;2
3;149;1
3;159;1
3;170;1
3;172;1
3;216;1
3;236;1
3;359;2
3;368;1
3;373;1
3;418;2
3;456;1
3;470;1
3;1267;1
4;13;1
4;19;5
4;20;1
4;25;1
4;28;1
4;31;1
4;43;1
4;44;1
4;49;1
4;54;1
4;70;2
4;93;1
4;94;1
4;98;1
4;104;1
4;147;1
4;171;1
4;251;1
4;303;1
4;359;1
4;373;1
4;418;1
4;456;1
4;470;1
12;13;1
12;19;1
12;25;1
12;30;1
12;36;1
12;54;1
12;63;1
12;65;1
12;70;2
12;99;2
12;105;1
12;146;1
12;159;1
12;172;1
12;206;1
12;216;1
12;236;1
12;292;1
13;19;1
13;25;3
13;31;1
13;34;1
13;36;1
13;54;3
13;62;1
13;70;2
13;94;3
13;98;2
13;99;1
13;100;1
13;104;1
13;133;1
13;178;1
13;179;1
13;187;1
13;206;1
13;292;2
13;329;1
13;359;1
13;368;1
13;418;1
13;420;1
13;456;1
13;464;1
13;645;1
13;776;1
13;991;1
13;1040;1
13;1267;1
19;30;1
19;31;1
19;49;1
19;54;1
19;70;3
19;93;1
19;94;1
19;98;1
19;99;1
19;104;1
19;146;1
19;147;1
19;171;1
19;216;1
19;251;1
19;359;1
19;418;1
19;456;1
19;470;1
28;70;1
28;105;1
28;139;1
28;146;1
28;190;1
28;198;1
28;263;1
28;359;1
28;418;1
30;70;1
30;99;1
30;146;1
30;216;1
62;7;1
62;9;1
62;10;2
62;21;1
62;31;2
62;32;1
62;56;1
62;64;1
62;78;1
62;87;1
62;93;1
62;109;1
62;120;1
62;122;2
62;125;1
62;140;1
62;148;2
62;153;1
62;165;1
62;169;1
62;173;1
62;176;1
62;187;1
62;199;1
62;212;1
62;221;1
62;229;1
62;259;1
62;266;1
62;267;1
62;273;1
62;278;1
62;313;2
62;318;1
62;352;1
62;368;1
62;374;1
62;378;1
62;388;1
62;407;1
62;423;1
62;429;1
62;466;1
62;492;1
62;586;1
62;609;1
62;655;1
62;691;1
62;692;1
62;699;1
62;700;1
62;723;1
62;732;1
62;744;1
62;830;1
62;853;1
62;893;1
62;900;1
62;908;1
62;911;1
62;1005;1
62;1077;1
62;1116;1
62;1131;1
62;1146;1
62;1177;1
62;1185;1
62;1267;1
62;1360;1
62;1381;1
62;1390;1
62;1481;1
62;1633;1
62;1719;1
62;1722;1
62;1806;1
62;2187;1
70;25;1
70;36;1
70;54;1
70;94;1
70;98;1
70;99;2
70;100;1
70;104;1
70;105;1
70;146;2
70;206;1
